CODBAIRRO;BAIRRO;CODRA;CODRA_TXT;RA;CODRP;CODAP;SHAPESTArea;SHAPESTLength;OBJECTID;Perc_idosos;Prop_idosos;Branca
52;Maria da Graça;12;XII;Inhaúma;3.4;3;824.991.947.265.625;484.243.577.924.784;238;18%;16%;51%
53;Del Castilho;12;XII;Inhaúma;3.4;3;144.091.830.566.406;529.482.819.202.002;234;17%;15%;63%
54;Inhaúma;12;XII;Inhaúma;3.4;3;348.528.369.189.453;131.648.134.394.557;220;13%;11%;44%
55;Engenho da Rainha;12;XII;Inhaúma;3.4;3;222.565.088.476.562;918.882.229.165.999;213;13%;11%;42%
56;Tomás Coelho;12;XII;Inhaúma;3.4;3;174.753.122.998.047;840.384.922.827.506;221;11%;8%;39%
57;São Francisco Xavier;13;XIII;Méier;3.2;3;648.909.357.421.875;546.217.439.150.455;264;13%;10%;85%
58;Rocha;13;XIII;Méier;3.2;3;131.162.912.988.281;571.794.186.500.512;256;17%;15%;71%
59;Riachuelo;13;XIII;Méier;3.2;3;928.110.958.984.375;534.253.690.704.461;262;19%;16%;75%
60;Sampaio;13;XIII;Méier;3.2;3;884.410.854.980.469;579.372.202.672.169;261;12%;9%;17%
61;Engenho Novo;13;XIII;Méier;3.2;3;264.485.413.525.391;105.956.890.849.774;265;14%;12%;42%
62;Lins de Vasconcelos;13;XIII;Méier;3.2;3;266.920.469.091.797;953.264.918.841.987;270;14%;12%;40%
63;Méier;13;XIII;Méier;3.2;3;247.093.973.583.984;983.665.110.023.171;257;22%;19%;61%
64;Todos os Santos;13;XIII;Méier;3.2;3;101.263.867.578.125;6.163.388.525.195;253;17%;15%;42%
65;Cachambi;13;XIII;Méier;3.2;3;225.016.577.685.547;808.175.598.380.327;246;17%;15%;52%
66;Engenho de Dentro;13;XIII;Méier;3.2;3;392.045.101.220.703;11.905.987.686.738;249;17%;14%;87%
67;Água Santa;13;XIII;Méier;3.2;3;242.623.833.105.469;675.146.912.746.652;269;12%;10%;47%
68;Encantado;13;XIII;Méier;3.2;3;106.014.901.513.672;599.555.464.133.381;255;16%;14%;35%
69;Piedade;13;XIII;Méier;3.2;3;388.711.072.900.391;123.265.480.824.127;235;16%;13%;84%
70;Abolição;13;XIII;Méier;3.2;3;616.334.304.199.219;493.077.686.422.035;242;18%;15%;53%
71;Pilares;13;XIII;Méier;3.2;3;183.642.496.875;682.873.877.346.737;233;17%;14%;51%
72;Vila Kosmos;14;XIV;Irajá;3.3;3;151.925.819.189.453;651.186.648.591.617;209;17%;14%;46%
73;Vicente de Carvalho;14;XIV;Irajá;3.3;3;183.571.560.839.844;675.301.662.949.415;211;12%;10%;44%
74;Vila da Penha;14;XIV;Irajá;3.3;3;143.571.962.060.547;610.017.060.323.899;202;16%;14%;33%
75;Vista Alegre;14;XIV;Irajá;3.3;3;515.210.432.128.906;358.153.092.090.674;197;18%;16%;52%
76;Irajá;14;XIV;Irajá;3.3;3;747.785.991.796.875;184.360.199.901.793;184;14%;12%;83%
77;Colégio;14;XIV;Irajá;3.3;3;226.111.634.228.516;773.923.260.627.972;199;10%;7%;51%
78;Campinho;15;XV;Madureira;3.3;3;984.513.088.867.188;481.848.908.580.495;241;16%;14%;79%
79;Quintino Bocaiúva;15;XV;Madureira;3.3;3;432.380.625.439.453;11.247.735.079.187;239;15%;13%;64%
80;Cavalcanti;15;XV;Madureira;3.3;3;192.415.444.433.594;624.804.530.491.219;228;13%;10%;87%
81;Engenheiro Leal;15;XV;Madureira;3.3;3;708.276.219.238.281;378.503.181.695.735;232;12%;9%;91%
82;Cascadura;15;XV;Madureira;3.3;3;283.897.828.564.453;905.641.604.040.226;236;15%;13%;83%
83;Madureira;15;XV;Madureira;3.3;3;378.762.352.636.719;957.437.520.005.384;223;15%;13%;87%
84;Vaz Lobo;15;XV;Madureira;3.3;3;110.122.388.916.016;503.057.386.964.461;215;14%;11%;72%
85;Turiaçu;15;XV;Madureira;3.3;3;125.581.297.216.797;537.820.031.174.226;218;11%;9%;47%
86;Rocha Miranda;15;XV;Madureira;3.3;3;288.671.332.421.875;916.673.602.692.359;206;13%;10%;45%
87;Honório Gurgel;15;XV;Madureira;3.3;3;137.485.071.679.688;688.459.322.024.711;200;12%;9%;41%
88;Oswaldo Cruz;15;XV;Madureira;3.3;3;207.113.235.351.562;694.274.866.587.448;224;15%;12%;25%
89;Bento Ribeiro;15;XV;Madureira;3.3;3;303.785.479.736.328;850.604.758.405.875;217;15%;12%;34%
90;Marechal Hermes;15;XV;Madureira;3.3;3;388.623.603.027.344;119.469.848.981.536;210;13%;10%;79%
91;Ribeira;20;XX;Ilha do Governador;3.7;3;86.192.715.234.375;705.004.065.498.894;192;17%;14%;38%
92;Zumbi;20;XX;Ilha do Governador;3.7;3;16.111.823.828.125;212.252.429.503.923;191;18%;15%;45%
93;Cacuia;20;XX;Ilha do Governador;3.7;3;206.869.168.847.656;10.232.346.898.263;183;12%;9%;67%
94;Pitangueiras;20;XX;Ilha do Governador;3.7;3;604.131.412.597.656;351.409.603.961.073;187;11%;9%;73%
95;Praia da Bandeira;20;XX;Ilha do Governador;3.7;3;379.406.944.824.219;342.322.734.292.607;180;13%;10%;75%
96;Cocotá;20;XX;Ilha do Governador;3.7;3;490.103.737.792.969;479.907.827.444.475;172;16%;14%;55%
97;Bancários;20;XX;Ilha do Governador;3.7;3;978.049.200.683.594;7.758.791.976.757;165;10%;8%;46%
98;Freguesia (Ilha);20;XX;Ilha do Governador;3.7;3;405.641.373.779.297;183.036.207.860.736;164;12%;10%;33%
99;Jardim Guanabara;20;XX;Ilha do Governador;3.7;3;320.589.065.185.547;902.841.995.387.209;177;15%;13%;43%
